TIME,SCORE,EMOTION
23:36:,1,neutral
23:37:,3,neutral
23:37:,3,sad
23:37:,1,happy
23:39:,18,happy
23:39:,11,neutral
23:39:,17,sad
23:39:,2,hate
23:39:,5,neutral
23:39:,2,neutral
23:39:,1,sad
23:40:,1,neutral
23:40:,1,neutral
23:41:,4,sad
23:41:,24,neutral
23:42:,1,sad
23:44:,2,neutral
23:46:,47,neutral
23:46:,6,anger
23:47:,2,neutral
23:47:,0,happy
23:47:,2,happy
23:48:,7,happy
23:48:,5,happy
23:48:,1,neutral
23:50:,-2,happy
23:52:,1,sad
23:52:,2,happy
23:52:,10,sad
23:53:,3,neutral
23:54:,7,happy
23:55:,13,anger
23:55:,3,sad
23:55:,2,sad
23:55:,7,sad
23:55:,4,sad
23:56:,2,neutral
23:57:,2,sad
23:57:,1,hate
23:57:,11,neutral
23:58:,1,neutral
23:58:,41,happy
23:58:,1,sad
23:58:,2,sad
23:59:,-5,happy
23:59:,10,sad
23:59:,3,sad
00:00:,8,happy
00:01:,3,neutral
00:02:,3,sad
00:02:,7,neutral
00:03:,1,neutral
00:05:,2,sad
00:06:,2,sad
00:08:,19,sad
00:08:,1,happy
00:08:,19,neutral
00:09:,2,happy
00:10:,24,sad
00:10:,35,neutral
00:11:,1,sad
00:11:,5,sad
00:12:,4,neutral
00:12:,1,neutral
00:12:,6,neutral
00:13:,8,neutral
00:13:,2,sad
00:14:,3,neutral
00:15:,62,neutral
00:15:,5,neutral
00:16:,2,happy
00:16:,-11,sad
00:17:,0,happy
00:18:,17,neutral
00:18:,4,neutral
00:19:,155,sad
00:20:,10,neutral
00:21:,3,sad
00:22:,1,neutral
00:22:,2,sad
00:23:,75,neutral
00:23:,1,neutral
00:25:,2,neutral
00:32:,1,neutral
00:33:,9,happy
00:36:,1,neutral
00:37:,12,neutral
00:37:,-1,neutral
00:38:,-3,neutral
00:39:,10,sad
00:39:,3,anger
00:39:,1,neutral
00:40:,1,neutral
00:41:,3,neutral
00:42:,1,neutral
00:43:,12,happy
00:44:,20,sad
00:44:,35,sad
00:44:,1,neutral
00:45:,3,neutral
00:45:,4,neutral
00:45:,15,sad
00:46:,6,neutral
00:47:,2,hate
00:48:,6,sad
00:49:,5,neutral
00:50:,1,happy
00:52:,1,neutral
00:53:,1,neutral
00:54:,79,happy
00:56:,-52,sad
00:57:,1,sad
00:58:,1,neutral
00:59:,16,sad
00:59:,13,neutral
01:02:,1,neutral
01:03:,-6,neutral
01:04:,1,hate
01:05:,6,sad
01:06:,1,sad
01:06:,3,sad
01:07:,29,happy
01:07:,1,neutral
01:07:,1,happy
01:07:,1,neutral
01:07:,2,neutral
01:07:,1,sad
01:08:,1,neutral
01:08:,10,sad
01:08:,8,neutral
01:10:,286,neutral
01:13:,1,neutral
01:14:,-3,sad
01:15:,1,sad
01:15:,2,happy
01:16:,4,neutral
01:16:,1,sad
01:17:,2,hate
01:20:,-4,neutral
01:21:,1,happy
01:21:,2,neutral
01:22:,6,neutral
01:23:,1,anger
01:23:,11,neutral
01:24:,7,neutral
01:28:,317,happy
01:28:,9,neutral
01:29:,1,neutral
01:30:,9,sad
01:30:,7,neutral
01:30:,119,happy
01:32:,1,happy
01:32:,0,sad
01:33:,70,neutral
01:36:,1,sad
01:36:,23,sad
01:38:,-56,neutral
01:39:,26,happy
01:40:,3,neutral
01:41:,1,neutral
01:41:,5,neutral
01:42:,10,sad
01:42:,13,sad
01:42:,3,neutral
01:43:,17,sad
01:44:,16,neutral
01:45:,1,neutral
01:45:,1,happy
01:48:,3,anger
01:52:,4,neutral
01:52:,11,sad
01:52:,5,hate
01:53:,1,neutral
01:54:,11,sad
01:55:,3,neutral
01:55:,1,sad
01:55:,1,anger
01:56:,70,happy
01:56:,1,sad
01:58:,-5,sad
01:58:,-1,sad
01:59:,26,neutral
01:59:,5,neutral
01:59:,1,sad
01:59:,7,sad
02:00:,5,sad
02:01:,1,neutral
02:01:,3,neutral
02:01:,3,neutral
02:02:,-6,neutral
02:02:,1,neutral
02:04:,0,happy
02:04:,65,hate
02:05:,26,neutral
02:05:,15,sad
02:06:,7,neutral
02:06:,1,sad
02:07:,1,neutral
02:08:,1,sad
02:08:,1,happy
02:09:,26,neutral
02:09:,3,neutral
02:09:,1,neutral
02:10:,2,happy
02:10:,1,neutral
02:11:,2,happy
02:13:,1,sad
02:13:,30,happy
02:16:,1,neutral
02:16:,13,neutral
02:17:,1,neutral
02:17:,11,neutral
02:18:,-4,happy
02:18:,1,sad
02:19:,1,neutral
02:19:,1,neutral
02:19:,-1,neutral
02:20:,-3,neutral
02:20:,1,neutral
02:21:,2,neutral
02:21:,3,happy
02:22:,2,neutral
02:22:,2,happy
02:22:,4,neutral
02:22:,1,happy
02:25:,2,happy
02:26:,2,neutral
02:28:,6,neutral
02:28:,1,happy
02:28:,2,sad
02:28:,4,neutral
02:31:,6,neutral
02:32:,-1,neutral
02:32:,11,neutral
02:32:,8,neutral
02:32:,5,sad
02:33:,1,neutral
02:33:,2,neutral
02:33:,3,sad
02:34:,18,neutral
02:34:,1,happy
02:35:,1,neutral
02:35:,2,neutral
02:35:,1,neutral
02:39:,3,happy
02:40:,69,neutral
02:42:,11,sad
02:45:,6,neutral
02:46:,1,neutral
02:46:,0,neutral
02:48:,1,neutral
02:49:,8,neutral
02:49:,2,happy
02:49:,6,hate
02:50:,22,happy
02:50:,2,happy
02:52:,2,happy
02:52:,1,neutral
02:53:,1,happy
02:53:,1,sad
02:57:,2,anger
03:00:,1,anger
03:01:,5,happy
03:01:,2,happy
03:05:,2,sad
03:07:,1,neutral
03:08:,10,hate
03:09:,1,sad
03:16:,7,sad
03:16:,-1,happy
03:18:,4,neutral
03:18:,7,neutral
03:18:,2,neutral
03:20:,2,neutral
03:20:,6,sad
03:21:,4,sad
03:21:,7,sad
03:23:,-30,hate
03:24:,1,sad
03:29:,44,neutral
03:33:,1,neutral
03:36:,1,neutral
03:36:,1,neutral
03:40:,2,sad
03:41:,4,neutral
03:41:,71,hate
03:41:,1,neutral
03:44:,1,sad
03:45:,14,happy
03:46:,0,neutral
03:46:,1,neutral
03:46:,1,neutral
03:47:,1,neutral
03:47:,-3,sad
03:51:,28,neutral
03:52:,6,sad
03:54:,1,sad
03:54:,7,neutral
03:55:,2,neutral
03:56:,1,neutral
03:56:,18,neutral
03:58:,4,sad
